state,start_prob
1,0.04878048780487804
2,0.04878048780487804
3,0.02439024390243902
4,0.02439024390243902
5,0.02439024390243902
6,0.02439024390243902
7,0.02439024390243902
8,0.02439024390243902
10,0.02439024390243902
11,0.02439024390243902
12,0.04878048780487804
14,0.02439024390243902
15,0.02439024390243902
16,0.02439024390243902
17,0.02439024390243902
18,0.02439024390243902
19,0.02439024390243902
20,0.04878048780487804
21,0.04878048780487804
22,0.02439024390243902
23,0.04878048780487804
24,0.02439024390243902
25,0.02439024390243902
28,0.04878048780487804
29,0.02439024390243902
30,0.02439024390243902
31,0.02439024390243902
32,0.02439024390243902
33,0.04878048780487804
34,0.04878048780487804
35,0.04878048780487804
